Area,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Gambia, The",0.116955,0.1140274,0.1023313,0.1150994,0.1246674,0.1294282,0.1238169,0.1138582,0.1113948,0.1079691,0.10739,0.1126015,0.1119572,0.1177846,0.1152271,0.1110592,0.1104847,0.1124427,0.1154212,0.098624,0.1153891,0.1154641,0.1135504,0.0957043,0.084103,0.0803618,0.0762982,0.0784914,0.0904208,0.0861367,0.0812069,0.0858588,0.0990051,0.1020172,0.0976813,0.0915581,0.0722391
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607538,0.0689346,0.0705269,0.0686056,0.0781119,0.0856468,0.1288182,0.0766929,0.0809288,0.107413,0.1239152,0.1467599,0.1530256,0.193137,0.1571301,0.1741077,0.1896888,0.2245632,0.2404635,0.2332858,0.2600175,0.3313327
Germany,0.4475992,0.447356,0.4510762,0.4992786,0.4937654,0.5359206,0.56631,0.6209846,0.6148352,0.6207708,0.6355378,0.6159769,0.6042948,0.6358879,0.6491011,0.642455,0.533848,0.7207514,0.7762632,0.7829151,0.7859869,0.7738201,0.7425984,0.7558166,0.7713302,0.7727286,0.7990739,0.7937192,0.7568874,0.768369,0.7487278,0.7336205,0.7234746,0.7037891,0.7051396,0.7270963,0.6983447
Ghana,0.1198127,0.1185513,0.1183852,0.1173648,0.126604,0.1413824,0.1373306,0.1191509,0.1119455,0.118179,0.1152618,0.1133921,0.0996105,0.1023325,0.1330835,0.1069897,0.1086556,0.1128345,0.1063428,0.1125326,0.1165524,0.1105695,0.1024914,0.1101601,0.1267445,0.1066214,0.106579,0.1181025,0.1259471,0.1131654,0.110275,0.1255422,0.1316735,0.1297876,0.1421977,0.1414087,0.1467756
Greece,0.32245,0.3273748,0.3430824,0.339938,0.3584978,0.3595387,0.3609384,0.323635,0.3370447,0.3278204,0.367375,0.3247494,0.307532,0.3359015,0.3753679,0.3847355,0.3911372,0.4859965,0.5624844,0.5730987,0.5439233,0.4862806,0.4596846,0.4788474,0.5201476,0.5602774,0.5989717,0.6336495,0.6882559,0.6428861,0.6378917,0.6298744,0.5603572,0.5856099,0.6225827,0.5560731,0.5393584
Grenada,0.1147563,0.1145873,0.0969954,0.138902,0.1810306,0.1586446,0.1239522,0.1435304,0.1645091,0.1591825,0.2081122,0.1981037,0.2041421,0.2347992,0.252584,0.2553238,0.254103,0.2626336,0.2643711,0.2748457,0.2817886,0.295516,0.3107962,0.3365119,0.3324455,0.314602,0.3438493,0.3356989,0.314029,0.3164829,0.3295774,0.32177,0.3135415,0.3157054,0.3034804,0.3073542,0.3062746
Guatemala,0.2935582,0.2951234,0.2782008,0.2664317,0.2697294,0.2659709,0.2527289,0.2576813,0.2569805,0.2547511,0.2142267,0.1544549,0.141511,0.109848,0.1393226,0.1328695,0.1334391,0.1463897,0.1611629,0.1641804,0.1591435,0.1567091,0.1573965,0.1695972,0.1765556,0.173281,0.1818397,0.205301,0.2062212,0.2148073,0.2197101,0.2230163,0.228979,0.2390081,0.2397207,0.2418367,0.242118
Guinea,0,0,0,0,0,0,0,0,0,0.1486109,0.1505824,0.1460454,0.1335224,0.1270312,0.1341554,0.1345487,0.107186,0.0778949,0.0702701,0.0893044,0.0496236,0.0506304,0.0531062,0.0692805,0.0528789,0.0690575,0.0623463,0.0622162,0.0685742,0.0683066,0.059636,0.080555,0.0585096,0.0587289,0.100664,0.0906789,0.1017344
Guinea-Bissau,0,0,0,0,0.0341566,0.0182659,0.0180618,0.0259878,0.0258946,0.0157878,0.0119922,0.015021,0.0150056,0.0035294,0.0040728,0.0029663,0.0038858,0.0040576,0.0044025,0.0039314,0.0039451,0.0022376,0.0016545,0.0034334,0.0083352,0.0182713,0.0306005,0.049018,0.0648394,0.0506705,0.0819951,0.0775281,0.064517,0.0719331,0.0701002,0.0692314,0.0681893
Guyana,0.1752236,0.179122,0.1780982,0.181922,0.1829753,0.1818716,0.1850815,0.1833467,0.1914843,0.1782141,0.1896452,0.1677071,0.135533,0.1410991,0.1286538,0.1444335,0.15716,0.1596039,0.1692219,0.1607273,0.1582171,0.1548552,0.1529831,0.1693537,0.1924085,0.2106941,0.1926355,0.1820063,0.1745094,0.1594067,0.1564688,0.1613607,0.1672053,0.1692632,0.1690021,0.1657735,0.1700984
Haiti,0.0576621,0.0614483,0.0589541,0.0534215,0.0513765,0.0469781,0.0415311,0.0696019,0.114917,0.1358338,0.1301239,0.126243,0.1385411,0.1127272,0.1045009,0.0970323,0.0718708,0.0901295,0.0810099,0.0694931,0.0975722,0.0689471,0.067091,0.0730337,0.0590746,0.0781795,0.0779052,0.0697607,0.0692807,0.0850544,0.08954,0.1122179,0.1251794,0.1195208,0.1174331,0.1074067,0.1383246
Honduras,0.1646691,0.162527,0.170485,0.187384,0.1750039,0.1706035,0.1714205,0.1795276,0.1680613,0.1658147,0.1488557,0.1250494,0.1393593,0.1184118,0.1284321,0.1225913,0.1325149,0.1473987,0.1401252,0.1621839,0.1382701,0.1616447,0.1531868,0.1681668,0.1639023,0.1730706,0.183025,0.1985626,0.2009915,0.2101385,0.199128,0.1948546,0.209686,0.2167527,0.2087045,0.2090741,0.2170357
Hungary,0,0,0.2641116,0.283131,0.2977613,0.3182186,0.3336224,0.3314342,0.3043192,0.3040452,0.3039576,0.2804154,0.2342642,0.2497634,0.2822858,0.2771634,0.3299883,0.4222458,0.4569852,0.4685825,0.4659414,0.3882921,0.4126279,0.4277225,0.4305483,0.4873332,0.5030248,0.5569322,0.5255171,0.5672656,0.5684015,0.5183649,0.4616589,0.4628808,0.4264553,0.4189003,0.4355711
Iceland,0.4303842,0.4467002,0.4581545,0.4777482,0.4620792,0.4401206,0.4349225,0.410055,0.4287633,0.4545664,0.4496856,0.4439683,0.4263014,0.4247892,0.44334,0.4381284,0.4596018,0.5036446,0.5334103,0.5842069,0.6757839,0.6722666,0.760957,0.8368373,0.8231077,0.8271369,0.8499711,0.8518207,0.7120961,0.5680367,0.5274671,0.6197141,0.5930887,0.5919022,0.5581381,0.5701169,0.542841
India,0.2076782,0.2123238,0.2221196,0.2234883,0.2327138,0.2346184,0.2426488,0.2398822,0.239232,0.2579191,0.2595474,0.2397083,0.2150902,0.2139702,0.2192732,0.1980295,0.2834458,0.3622005,0.3512031,0.4072541,0.4170585,0.3869405,0.4026784,0.4142088,0.4277023,0.4159113,0.431246,0.4121399,0.4599642,0.4659429,0.4465534,0.4081762,0.3925741,0.3876455,0.4036558,0.4087304,0.4073103
Indonesia,0.0824137,0.092505,0.1016094,0.1452607,0.1392658,0.1438954,0.2014277,0.2359281,0.2380225,0.2478635,0.3041003,0.2621261,0.2677027,0.2778826,0.2729129,0.2665046,0.3314237,0.3883999,0.3563552,0.312867,0.3122118,0.3068351,0.311439,0.2790887,0.2896528,0.2927123,0.2944201,0.3243175,0.3602246,0.3167012,0.2916736,0.3131688,0.3310509,0.3508317,0.3581688,0.3609044,0.3639323
"Iran, Islamic Republic of",0.3475526,0.3304115,0.3047778,0.2997487,0.2864107,0.2960458,0.3168369,0.3106047,0.3083414,0.3152749,0.3153795,0.3116599,0.2965099,0.2593463,0.276733,0.2481761,0.2668388,0.2542168,0.2496246,0.2580066,0.2812738,0.293587,0.2710437,0.2982379,0.3167836,0.2928645,0.2923127,0.3187161,0.3424741,0.3372913,0.3309091,0.3375598,0.3439632,0.3761055,0.3648833,0.3567704,0.4052239
Ireland,0.4712348,0.4914157,0.5233847,0.5604383,0.5706028,0.6546176,0.6715484,0.6789802,0.656248,0.6570188,0.6213218,0.610953,0.5551192,0.6406487,0.6330317,0.6354712,0.6622877,0.6988884,0.7806235,0.7821869,0.7143934,0.7550209,0.6843113,0.7218453,0.7500425,0.7564543,0.7767149,0.7887277,0.789148,0.7693231,0.7516911,0.6823118,0.7077494,0.7374668,0.7118254,0.6931679,0.6912758
Israel,0.3146078,0.3147098,0.325899,0.4180638,0.3024181,0.2677073,0.274197,0.3228295,0.3116009,0.3259459,0.3996419,0.3848802,0.4049485,0.4877081,0.5092572,0.4082472,0.3998492,0.4542194,0.4753639,0.4886546,0.5096471,0.4684622,0.4680824,0.4787651,0.5027539,0.531562,0.5561633,0.57886,0.6529271,0.6172248,0.6362219,0.6162676,0.590533,0.578845,0.5868812,0.6135016,0.568392
Italy,0.3253747,0.3272041,0.3259242,0.3132211,0.3306484,0.4109344,0.4022176,0.4313068,0.4317511,0.4334885,0.4213283,0.4055744,0.3991616,0.4581555,0.5122347,0.4772914,0.4858112,0.5623654,0.6898056,0.7054062,0.770224,0.7673125,0.7498689,0.7574153,0.7535828,0.7658985,0.7884517,0.7982829,0.7790457,0.7935702,0.7664123,0.7733194,0.7918525,0.7778449,0.7996156,0.8170223,0.8011451
Jamaica,0.2617225,0.2811345,0.2894926,0.3017524,0.3209103,0.2772485,0.2355168,0.2330596,0.2494874,0.265417,0.2485915,0.2586538,0.2921116,0.2223644,0.2051325,0.1806767,0.1628933,0.1802477,0.1566182,0.1594254,0.2058887,0.2183953,0.2271772,0.2189001,0.2330704,0.2394983,0.2777127,0.2772014,0.2807486,0.2712984,0.2551678,0.2572072,0.2693566,0.2580672,0.2621613,0.2631457,0.2715746
Japan,0.5109717,0.5228143,0.4901029,0.5258428,0.5469519,0.5803816,0.6300476,0.6775203,0.6694997,0.6688389,0.6433849,0.5994425,0.5660297,0.5834559,0.5848329,0.5815238,0.6205744,0.6405928,0.6428539,0.6911113,0.7209303,0.6888832,0.713702,0.7291459,0.7654868,0.8136196,0.8443039,0.8560091,0.8176821,0.8198395,0.8264517,0.814168,0.8053079,0.8457909,0.8486647,0.8680984,0.8684092
Jordan,0.2834989,0.2882141,0.3026366,0.3210409,0.33621,0.3410481,0.3292202,0.3348299,0.3475269,0.3975365,0.370936,0.3814381,0.4213804,0.4274743,0.3753133,0.3688066,0.3540813,0.3842598,0.3768305,0.3676413,0.3474801,0.3783827,0.3932388,0.4295498,0.4760871,0.5722207,0.527522,0.5189116,0.5730003,0.5080088,0.4685427,0.4348272,0.4153147,0.4131767,0.3974665,0.3966793,0.3947885
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1932491,0.1841839,0.1760508,0.1290497,0.1308575,0.1517077,0.134655,0.1492737,0.1780227,0.223685,0.2584373,0.2804558,0.3004652,0.3826138,0.3877721,0.3512653,0.3473606,0.3098909,0.3116939,0.3204625,0.3068472,0.3124,0.3115213,0.3412078
Kenya,0.1886037,0.2102027,0.2095718,0.2005699,0.1976516,0.1959219,0.1955534,0.1767172,0.1632024,0.1570765,0.1561493,0.133677,0.1177445,0.1116846,0.1444268,0.1362587,0.1508238,0.1388369,0.1398592,0.1393514,0.1241054,0.1019715,0.1130112,0.1339577,0.1452181,0.1466503,0.1740794,0.1743481,0.1611471,0.1518379,0.1678307,0.1705349,0.1819357,0.1801307,0.1887546,0.1940569,0.1901924
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1253729,0.1117924,0.1053133,0.1031274,0.1010657,0.0991048,0.0972271,0.0954194,0.0936709,0.0919734,0.0903201,0.0887054,0.0871248,0.085459,0.0837284,0.0819469,0.0622047,0.0825335,0.0825335,0.0825335
"Korea, Republic of",0.3195902,0.3902898,0.3414213,0.3231687,0.3492632,0.3814175,0.4672206,0.4888686,0.5282016,0.533529,0.494958,0.5315613,0.5744122,0.6109853,0.621862,0.5915277,0.6000627,0.6047794,0.625854,0.6812483,0.7538756,0.7948735,0.8052461,0.7916203,0.8012884,0.8023011,0.8130477,0.8227662,0.7895655,0.8268691,0.8074966,0.8347522,0.8591687,0.8529028,0.8486547,0.8500587,0.855473
Kuwait,0.3104863,0.3457155,0.3746987,0.3729499,0.3751312,0.3742437,0.3645935,0.3654187,0.3766443,0.3177483,0.2997919,0.312683,0.3180973,0.3115156,0.2937876,0.355662,0.4545439,0.5063533,0.405062,0.362171,0.3156338,0.4014945,0.4658622,0.4902332,0.4417737,0.4788754,0.4494684,0.531561,0.4803836,0.4911011,0.4302534,0.3338092,0.3282208,0.3266743,0.3509349,0.3751103,0.4064722
Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2134941,0.2111274,0.1953531,0.2089681,0.2060551,0.2161526,0.2151259,0.2536005,0.1842532,0.247908,0.1527822,0.2551334,0.2455604,0.2393383,0.2257081,0.108495,0.085858,0.0985122,0.1119603,0.1217035,0.128086,0.1211159
Lao People's Democratic Republic,0,0,0,0,0,0,0,0,0,0.125919,0.1259937,0.1264603,0.114494,0.1135656,0.1158374,0.1174173,0.1232568,0.1231119,0.1287752,0.116996,0.1209991,0.1233058,0.0961664,0.1230199,0.1272442,0.1511699,0.1635592,0.1644973,0.1398741,0.1601689,0.1659503,0.1639469,0.171681,0.1740332,0.1288548,0.140837,0.1363537
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1268438,0.1174614,0.1250739,0.1601018,0.2313814,0.1913522,0.2001647,0.2830613,0.278457,0.27129,0.2949154,0.3076549,0.3019123,0.3352255,0.3573759,0.3397057,0.347871,0.3468103,0.3334561,0.3152861,0.3054513,0.2850358,0.2813603,0.2913639
Lebanon,0.235367,0.2445801,0.2951078,0.2839648,0.2777366,0.2696752,0.2624767,0.2266882,0.1845379,0.1954816,0.2057309,0.1841963,0.1822643,0.1944006,0.2141309,0.221554,0.2428723,0.3193824,0.2877972,0.2897902,0.2939653,0.2881294,0.2880673,0.2943859,0.3026323,0.3239486,0.3633908,0.3478736,0.3571079,0.3356666,0.3518725,0.3305603,0.3194131,0.3170486,0.3150985,0.3186837,0.3201028
Lesotho,0.1182705,0.1476529,0.1566822,0.1444651,0.141029,0.1328608,0.1313372,0.1580935,0.1496597,0.1298924,0.1324293,0.1367501,0.1238011,0.1015851,0.1296473,0.1390977,0.147166,0.1826151,0.146052,0.1430972,0.1204714,0.1313323,0.1139787,0.121141,0.1290965,0.1418998,0.1487719,0.149272,0.1330577,0.1413926,0.158362,0.1614572,0.1625775,0.1703646,0.1601582,0.1609537,0.1423727
Liberia,0.128736,0.1149074,0.1287539,0.1108875,0.1081944,0.1143278,0.1352688,0.131325,0.1291133,0.1389254,0.1396391,0.1403277,0.1540354,0.156551,0.1740055,0.1663404,0.1258369,0.1187506,0.1318588,0.1425466,0.1291919,0.1296721,0.1427925,0.1552946,0.1948664,0.1630826,0.1752757,0.1624762,0.1658167,0.1748054,0.1585523,0.1532726,0.1652803,0.1798956,0.1649098,0.13811,0.1532376
Libya,0.1346822,0.1520049,0.1446658,0.1531147,0.1542984,0.1522605,0.1550906,0.1601247,0.1608563,0.1595957,0.1583813,0.1565769,0.1631423,0.1578256,0.1611479,0.1639747,0.1572109,0.1483813,0.1451654,0.1329239,0.1280349,0.1322519,0.1321755,0.1247174,0.1385155,0.1406636,0.1468976,0.1521497,0.1413627,0.1560818,0.1530143,0.1657039,0.1533877,0.1603135,0.1608898,0.1491743,0.1445963
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1253135,0.1231628,0.1127299,0.1281142,0.1938903,0.1940055,0.2184936,0.2032814,0.2066955,0.2318486,0.2439713,0.2619176,0.2906253,0.3319878,0.3341136,0.3038673,0.2935347,0.2980034,0.2696387,0.265762,0.2601559,0.2578304,0.2587275,0.2573722
Luxembourg,0.6003411,0.6113062,0.6211194,0.617618,0.6232719,0.6352415,0.669696,0.6795166,0.716212,0.7131839,0.6865907,0.6678913,0.6582257,0.7203424,0.7255847,0.7092605,0.7329648,0.7508672,0.7542869,0.7530069,0.7502373,0.7416277,0.7270128,0.7264862,0.7380528,0.7439798,0.7499782,0.7502446,0.7662732,0.7639779,0.7552091,0.7406941,0.7445871,0.7424737,0.7483469,0.7399582,0.7459558
"Macedonia, FYR",0,0,0,0,0,0,0,0,0,0,0,0,0.2055078,0.2225813,0.1846205,0.1939578,0.2097816,0.2210929,0.303082,0.3103037,0.3192208,0.3099829,0.1866748,0.1641406,0.1808161,0.2016879,0.2301976,0.2678633,0.2491221,0.2522377,0.2560742,0.2572204,0.253602,0.2598148,0.2666334,0.2745502,0.2773372
Madagascar,0.0981501,0.0953652,0.0915547,0.0880505,0.0959852,0.1016913,0.1021876,0.0970823,0.0782084,0.0731603,0.0653909,0.0860863,0.0753247,0.0618917,0.0816058,0.0802989,0.1115432,0.097577,0.085426,0.0880631,0.0963751,0.0842551,0.0856491,0.0883485,0.1082938,0.1102906,0.1135743,0.1006327,0.0991351,0.0938393,0.0924027,0.0862044,0.086493,0.0865674,0.0951529,0.0976195,0.1038502
Malawi,0.1300326,0.1284619,0.1288951,0.1320733,0.1314544,0.1129803,0.1079622,0.1167596,0.0763892,0.0691409,0.081273,0.0963399,0.1307915,0.1008071,0.140882,0.104509,0.0821309,0.0833081,0.0906589,0.0765432,0.0843331,0.0712671,0.0683124,0.0691111,0.0692726,0.064722,0.087614,0.0819198,0.0906896,0.0870874,0.0759985,0.0887604,0.1051207,0.0905348,0.0866872,0.0930818,0.0833748
Malaysia,0.2447116,0.2518351,0.2331144,0.280705,0.2733797,0.3339755,0.3377961,0.3431618,0.3432174,0.4199117,0.4279294,0.4443606,0.4994985,0.4425097,0.4178401,0.5123695,0.4626242,0.5462241,0.517424,0.5450529,0.5904548,0.5489678,0.5385776,0.5672349,0.5939967,0.5831256,0.6149852,0.6720293,0.5992025,0.6327199,0.6478781,0.6605721,0.6648455,0.6762525,0.6735137,0.6624636,0.6600142
Maldives,0.1328301,0.1352566,0.1627636,0.1755381,0.1915809,0.1753332,0.1610235,0.1453137,0.1235285,0.1275496,0.1327356,0.112181,0.0983664,0.1182556,0.1361795,0.1354172,0.1343164,0.1348778,0.1361072,0.1383207,0.134274,0.1380643,0.1436567,0.1381323,0.146699,0.1562921,0.1612651,0.1755751,0.1751333,0.1605493,0.1604185,0.1680149,0.1488044,0.15086,0.1624524,0.1715555,0.1839326
Mali,0.0944917,0.0951992,0.095432,0.1054111,0.1001543,0.1016745,0.1016214,0.0940235,0.0899587,0.0879398,0.0839821,0.0837464,0.0846533,0.0860451,0.0862656,0.0863474,0.0985507,0.1022959,0.1055709,0.1070104,0.0956276,0.1116561,0.1120276,0.1097276,0.1111244,0.099885,0.1056074,0.1094293,0.10413,0.1026565,0.1171335,0.1222513,0.1120182,0.1191142,0.1299042,0.1371937,0.1386012
Malta,0.3789192,0.3888473,0.4086891,0.4344843,0.4504318,0.4425394,0.4513501,0.4605053,0.4462418,0.4589095,0.4779383,0.4698055,0.4829679,0.476603,0.4981355,0.5039473,0.5066265,0.51521,0.5476301,0.6102817,0.581816,0.5777566,0.5713558,0.5517522,0.5696958,0.5701861,0.5676036,0.5682368,0.547402,0.5583126,0.5469626,0.5538043,0.5514321,0.5701633,0.5646575,0.5840945,0.5728436
"Marshall Islands, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782711,0.0892336,0.0892336,0.0892336,0.0892336,0.0892336,0.0892336,0.0892336,0.0892336,0.0892438,0.0892314,0.0962365,0.1026758,0.1025947,0.1025115,0.1115175,0.0958508,0.1077444,0.1098698,0.1135416,0.115513
Mauritania,0.1184356,0.1183397,0.1195082,0.1196477,0.1199897,0.1390311,0.1311546,0.1248678,0.1257657,0.1370769,0.138406,0.1368865,0.1040476,0.0978158,0.1121055,0.1075967,0.0925435,0.10491,0.1082257,0.0976164,0.0869886,0.1041748,0.1039389,0.0998369,0.1016381,0.1158431,0.1171118,0.1056307,0.1164647,0.1049113,0.1139588,0.1129466,0.1132963,0.1150809,0.1158449,0.1122635,0.1286565
Mauritius,0.2437094,0.2555459,0.253202,0.2501664,0.2716041,0.2558401,0.2489014,0.2635603,0.2601811,0.2598825,0.2574841,0.2665191,0.2725473,0.322738,0.3154193,0.3269486,0.3209628,0.3375511,0.348719,0.34905,0.3344721,0.3408351,0.2970359,0.3374052,0.3420666,0.3699111,0.3779953,0.4011605,0.3997932,0.406007,0.4113983,0.4179124,0.3998536,0.4171368,0.4475429,0.4429912,0.4325249
Mexico,0.3456782,0.3521721,0.2423719,0.1985839,0.2448398,0.2806489,0.2870504,0.3292014,0.2473312,0.288875,0.3078494,0.3115223,0.3381521,0.3395418,0.3497202,0.3151972,0.3241477,0.3288134,0.3028363,0.2946524,0.3122664,0.3366248,0.3021289,0.3130199,0.3164746,0.3506786,0.3290195,0.3957704,0.3876688,0.3825217,0.4007959,0.3884666,0.3960891,0.4167023,0.3849213,0.3922046,0.4091886
"Micronesia, Federated States of",0,0,0,0,0,0,0,0,0,0,0,0,0,0.103276,0.1342676,0.1339266,0.1337488,0.1336503,0.1222222,0.1235595,0.1214256,0.1158436,0.1159955,0.1229549,0.1191074,0.1193025,0.1172777,0.1180908,0.1189291,0.1213753,0.124091,0.1237259,0.1271322,0.1278466,0.129971,0.1327455,0.132333
Moldova,0,0,0,0,0,0,0,0,0,0,0,0.1904911,0.1901472,0.1658787,0.1239853,0.2041368,0.1902995,0.1984307,0.2679699,0.2265414,0.2242488,0.2287878,0.2433911,0.2538438,0.2526335,0.2639402,0.2762243,0.2934378,0.290339,0.2791486,0.2834674,0.2957912,0.3096038,0.3164956,0.3196945,0.3183547,0.3020564
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0.2399838,0.212862,0.2104702,0.2320778,0.167679,0.2127233,0.2193894,0.2177289,0.1426985,0.1747324,0.1402121,0.1782629,0.1735312,0.187683,0.2047577,0.2384067,0.2656114,0.2595311,0.2570684,0.2788305,0.2969059,0.3305044,0.3333407,0.3401298,0.38438,0.4009371
Morocco,0.1730534,0.1776823,0.1814446,0.185064,0.1856687,0.1819285,0.1891006,0.188022,0.1869394,0.1904281,0.1887565,0.1906785,0.1963423,0.2055469,0.2242696,0.2503223,0.2045037,0.2271522,0.228763,0.2543233,0.2586828,0.2595087,0.2519849,0.2693385,0.2842492,0.3097107,0.3649545,0.4104911,0.3798888,0.4200342,0.3959204,0.3837602,0.386673,0.3865947,0.3910569,0.3915401,0.3957298
Mozambique,0,0,0,0,0,0,0,0,0,0,0.0999715,0.1043277,0.1178878,0.0919807,0.0925205,0.0955631,0.0669478,0.0620921,0.0800438,0.0695532,0.0647008,0.125351,0.0887486,0.0958335,0.0935542,0.1043914,0.1145779,0.1110512,0.1240861,0.1318558,0.1349369,0.1226384,0.129294,0.1389912,0.1406154,0.1469208,0.1390941
Myanmar,0.118213,0.1187196,0.1178915,0.1178891,0.1168266,0.1174258,0.1176374,0.1166647,0.1157162,0.1141485,0.1153583,0.1140196,0.1130946,0.1102914,0.1148224,0.1288976,0.1270173,0.1248399,0.1155778,0.1190631,0.1197579,0.1112251,0.1157661,0.1181083,0.1212898,0.1275793,0.1178575,0.1219319,0.114543,0.1213257,0.1052299,0.113659,0.1290226,0.1343479,0.1383222,0.1166651,0.1455372
Namibia,0,0,0,0,0,0,0,0,0,0,0.1653696,0.1784823,0.2368216,0.2430907,0.2541828,0.2645018,0.2849745,0.2828822,0.2828482,0.3198185,0.3129505,0.3155887,0.3096619,0.2841674,0.3309254,0.3161708,0.313464,0.3182183,0.3733076,0.4647032,0.4193284,0.4024649,0.4199255,0.4224229,0.4307935,0.4443681,0.4498268
Nepal,0.1490138,0.1498176,0.1447036,0.1439338,0.1443388,0.1458045,0.1505065,0.1503781,0.1521204,0.1536016,0.1531857,0.151071,0.1477529,0.1457268,0.1588191,0.1558398,0.1464069,0.1421341,0.13733,0.1623292,0.1633665,0.1575063,0.1565145,0.1280035,0.1652829,0.1664002,0.168301,0.186901,0.1956014,0.197669,0.1866044,0.1843985,0.1890101,0.1906565,0.192537,0.1988498,0.2119091
Netherlands,0.4358015,0.4245604,0.4338175,0.4640163,0.4781384,0.5139681,0.5322754,0.5546489,0.5526766,0.5564002,0.5282287,0.5186773,0.5160467,0.5396588,0.580516,0.5971781,0.6685295,0.7342235,0.754611,0.7704953,0.8261132,0.7948785,0.8084241,0.8398272,0.8499992,0.820447,0.8389666,0.852974,0.8006027,0.8189887,0.8076545,0.7564422,0.7231144,0.7168698,0.7039955,0.70246,0.7055485
New Zealand,0.2372048,0.2511553,0.2723438,0.2724108,0.2915988,0.3809865,0.4160564,0.4379478,0.3867556,0.380301,0.4017942,0.4337569,0.4510719,0.4758099,0.5092331,0.5174505,0.509409,0.5506704,0.6199232,0.6298952,0.6354114,0.5899909,0.5510592,0.5103134,0.5089616,0.495408,0.5610657,0.5526298,0.5476046,0.5721048,0.5824968,0.5941235,0.5881266,0.5656877,0.5766094,0.5731348,0.6053087
Nicaragua,0.1337094,0.1411491,0.1452853,0.136441,0.1330459,0.1265463,0.1268034,0.1041071,0.118714,0.1158235,0.1183066,0.116671,0.1073516,0.094515,0.1124142,0.0878646,0.107621,0.1138589,0.1114671,0.1286162,0.1306324,0.1031241,0.1139574,0.1093752,0.1247217,0.1337996,0.1271042,0.1307652,0.1117052,0.1251623,0.1211246,0.1277588,0.1268836,0.1292931,0.1327464,0.1380169,0.1475417
Niger,0.1054939,0.1066141,0.1063436,0.1215924,0.1184249,0.1167952,0.1171027,0.1071433,0.1054977,0.0992405,0.0957303,0.0949071,0.0950983,0.0930535,0.091741,0.0867784,0.0795474,0.0757971,0.0828856,0.0705027,0.0546662,0.067376,0.0457871,0.0508965,0.0611429,0.0732183,0.0827872,0.0918984,0.1088173,0.1095658,0.1257529,0.1191304,0.1181421,0.1255385,0.1200494,0.1373818,0.1381327
Nigeria,0.2170805,0.23459,0.2540735,0.2402956,0.2079925,0.2098473,0.2322754,0.2069926,0.1718177,0.1347076,0.1555187,0.1634889,0.1762641,0.1692094,0.1645674,0.174324,0.1794776,0.1857896,0.195011,0.1870347,0.1764853,0.1761768,0.1820296,0.1899868,0.2028865,0.2013899,0.2131778,0.2679959,0.2886294,0.240996,0.2108027,0.2125976,0.2252023,0.2285289,0.2368281,0.2311072,0.2350059
Norway,0.2908514,0.2742792,0.2585699,0.2982635,0.3297723,0.3951826,0.3758519,0.4910026,0.4163795,0.4399971,0.4357298,0.4180794,0.3946072,0.4578302,0.4520151,0.4552638,0.5240443,0.5755162,0.5963113,0.6066651,0.6523112,0.6199219,0.5946275,0.6195539,0.6793473,0.7106944,0.7611521,0.7956213,0.747095,0.7773784,0.7426846,0.7369868,0.6757974,0.6530805,0.6782296,0.6917214,0.6906703
Oman,0.2285933,0.2241583,0.2348681,0.2624184,0.2788951,0.2976833,0.2931212,0.2674281,0.2612069,0.310596,0.3008435,0.2679615,0.2464368,0.2481296,0.2777189,0.281884,0.3114603,0.4094888,0.4127898,0.3379408,0.3197021,0.3184938,0.3318077,0.3430523,0.3604793,0.3850833,0.380167,0.4268648,0.4242152,0.4237903,0.3749756,0.3548201,0.3448697,0.3643615,0.3576917,0.3702208,0.4017798
Pakistan,0.131932,0.1324768,0.1341142,0.1397332,0.140707,0.1506547,0.1559487,0.1499161,0.1461811,0.1418441,0.140085,0.1538775,0.1512507,0.163123,0.156352,0.149729,0.2186046,0.2822036,0.3002024,0.3062292,0.3172593,0.2881063,0.3476591,0.3576275,0.3711694,0.3696481,0.3644166,0.3765119,0.3269025,0.2500366,0.2109922,0.2049332,0.2173139,0.2214575,0.2223148,0.226348,0.2312691
Panama,0.2783746,0.2770067,0.2554214,0.2505253,0.2428865,0.2374311,0.2408982,0.2432188,0.245027,0.2500032,0.2571886,0.2557659,0.2425078,0.2590042,0.2916655,0.2847599,0.2816746,0.3207823,0.3000587,0.320995,0.3155233,0.3243382,0.3039725,0.2849768,0.2762921,0.308228,0.3182617,0.316935,0.3160709,0.3224226,0.3269611,0.3280326,0.3489567,0.3276639,0.3441391,0.3387008,0.3529089
