Area,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Botswana,0.1154794,0.1362764,0.1019988,0.1203002,0.1002595,0.0849676,0.1069589,0.0831128,0.0766786,0.0818073,0.1281274,0.1651089,0.1726132,0.1747637,0.1774674,0.1738787,0.179959,0.1911703,0.202673,0.193713,0.1982722,0.2165028,0.2120085,0.216672,0.2224307,0.2304191,0.2370557,0.2636673,0.2680733,0.2812829,0.2773524,0.2658978,0.2667131,0.2652435,0.2622969,0.2708717,0.2744751
Brazil,0.252578,0.2248387,0.2086785,0.2287422,0.2071097,0.193301,0.1821736,0.1613915,0.1969036,0.2507792,0.175614,0.2308741,0.2799821,0.4223408,0.4199857,0.3480134,0.3834608,0.4626588,0.4028071,0.39682,0.404924,0.4136524,0.4132122,0.428352,0.4539141,0.4793612,0.5046017,0.5655363,0.6067414,0.5625331,0.5777862,0.5727826,0.5933176,0.5881127,0.5962707,0.6087538,0.5709821
Brunei Darussalam,0,0,0,0,0,0,0.0817299,0.0817299,0.0817299,0.0817299,0.0817299,0.0817299,0.0817299,0.0817299,0.0817299,0.3846258,0.3478833,0.3413941,0.3204073,0.3228492,0.3021742,0.3175004,0.3183915,0.3041997,0.2892296,0.3030915,0.296957,0.3088933,0.3166819,0.3379432,0.3319923,0.3254908,0.336805,0.3419169,0.3353501,0.3443405,0.343711
Bulgaria,0,0,0,0,0,0,0,0,0,0.0021787,0.0021787,0.3588896,0.3448792,0.3080784,0.2845649,0.2340037,0.4010652,0.4078873,0.3610939,0.223164,0.2332172,0.3573309,0.2810891,0.2630277,0.2988383,0.3183651,0.3593004,0.4197837,0.3871452,0.3762066,0.3692669,0.3666215,0.3674152,0.3741348,0.361143,0.3687893,0.3779879
Burkina Faso,0.1151673,0.1156252,0.1156592,0.1277815,0.1249929,0.1259007,0.1249778,0.1178273,0.1173876,0.1154118,0.1131825,0.1089179,0.1073991,0.108488,0.1077272,0.1096154,0.1148065,0.1160328,0.1189849,0.0965164,0.0986205,0.1050086,0.1095217,0.1043784,0.1002516,0.1027532,0.0966228,0.1035392,0.0794288,0.0807236,0.0978841,0.0959242,0.1151975,0.1200009,0.130999,0.1340669,0.1420821
Burundi,0.0958769,0.1159911,0.1194584,0.1140946,0.1128429,0.1124256,0.1194159,0.0711193,0.0725506,0.0733751,0.0746726,0.0767127,0.0763892,0.0784891,0.080932,0.0916915,0.0944197,0.0869842,0.0945865,0.1091243,0.0996425,0.0860126,0.1052903,0.1013547,0.1000311,0.0899553,0.0747463,0.0812678,0.0893447,0.1054708,0.1211117,0.1179465,0.1200402,0.1356916,0.1379645,0.1378743,0.1499269
Cabo Verde,0.1916561,0.1941784,0.1808587,0.1755875,0.1451693,0.150021,0.1454485,0.149698,0.1541701,0.1576841,0.1645922,0.1631102,0.1641448,0.1696139,0.1608783,0.1453436,0.1558564,0.1528601,0.1618504,0.1499998,0.1596988,0.1599287,0.1589766,0.1573843,0.1619686,0.1672425,0.186082,0.2026281,0.2198928,0.225465,0.243029,0.2461206,0.2540583,0.25304,0.2516159,0.252977,0.2578382
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057419,0.0643479,0.065594,0.0718282,0.0785227,0.0790065,0.0777133,0.0749149,0.0405036,0.0823107,0.0901078,0.0857539,0.0787444,0.0867359,0.0976004,0.1001651,0.0991455,0.1102527,0.1157979,0.1234356,0.1283654,0.136556,0.1419175,0.1460102
Cameroon,0.1231259,0.1242434,0.1243012,0.1109647,0.107041,0.105406,0.1138594,0.1177983,0.1132316,0.1028924,0.0963451,0.0775345,0.075508,0.0741412,0.0759128,0.0857441,0.0843453,0.0863841,0.0631828,0.0765346,0.0780946,0.0869992,0.1036605,0.0699974,0.0786431,0.0903263,0.091789,0.0981417,0.1025729,0.0959657,0.0975558,0.0986912,0.0960144,0.1089183,0.0961267,0.1021586,0.1272798
Canada,0.4209749,0.4175775,0.4233888,0.4046501,0.4291172,0.469619,0.5044627,0.5218135,0.5004973,0.5108916,0.4820568,0.5077294,0.5167003,0.5915028,0.6113718,0.6277441,0.6677399,0.73127,0.7492669,0.7494022,0.786645,0.7768257,0.7339672,0.7422551,0.7614705,0.7876904,0.8083122,0.8280035,0.8390747,0.8748147,0.8293921,0.865844,0.8639637,0.864331,0.8660799,0.8670362,0.8621565
