Area,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Netherlands,8594.6,8603.9,7767.4,7554.4,7269,7847.5,8216.8,10070.7,11392.763,13015.8,13528.1,13740.2,12839.4,13590.9,16559,16614.4,19821.6,19003.9,19373.5,21693.6,19524.7,18334.3,20703,24286.3,26495.6,31101.7,32986,40223.1,32347,34997.7,42227.11902,40618.28651,42507.09234,43075.16753,40706.21936,40377.06646,42230.483,49390.54124
Portugal,1083.6,839.2,1213.4,960.6,694.5,638,581.4,759.3,926.252,922.3,791.9,1023.9,734.8,1054.4,898.5,960.6,955.2,887.6,1116.3,981.8,1258.4,862.7,863,1046.2,1129.3,1470.7,2478.4,2645.8,1085.2,1065,1315.990308,1097.095847,844.371854,1135.634789,939.754154,948.179725,1193.272314,1463.64013
Slovak Republic,,,,,,,,,,,,,30,42.7,54.5,62.6,82.2,110.6,124.6,123,70,92.8,115.3,131.7,149.6,510.5,679.9,570.9,208.3,256.2,302.411668,335.549229,295.818376,445.139375,380.809988,293.199916,442.840459,289.606762
Slovenia,,,,,,,,,,,,,92.2,96.4,116,130.8,113.1,123.2,109.5,144.2,119.7,130.9,139.5,191.8,233.6,238.9,297,309.5,241.4,327.9,668.166646,307.877888,269.533867,301.218759,367.377996,335.211736,372.18317,319.473585
Spain,3556.4,3582.9,2905.1,2561.3,2524.4,2614.8,3148.4,4205.9,4797.573,5208.4,5481.5,5487.4,4180.8,4645,5529.5,5485.9,5543.8,5454.7,6076.8,6356.3,5810.9,5225.7,5935.3,6640.4,6933.8,7405.2,9879.4,12283,8750.8,10150.2,11031.58979,9551.906914,10244.23104,10200.26915,10248.89448,10373.14968,11014.91789,12975.52031
Australia,5242.3,4533.8,3954.2,4792.5,5440.4,5551.1,5494.8,6964.8,8347.024,8601.5,8415.4,8912.5,8271.6,9780.8,10788.4,11991.7,12040.7,11929.7,11343.6,12331.8,10944.9,13084,13104.1,14270.9,15771,17782.3,19206.8,22456.8,19604.4,21806.9,27626.54758,31161.8786,26123.00531,26582.84977,25038.66599,22224.91069,24601.34867,25306.45148
Canada,39564.4,33720.3,38244.1,46524.2,47251,45332.5,59814.3,69684.2,78266.158,82959.3,85146.3,90156,100190.5,114254.7,126024.2,132584,150124.2,154152,162956.4,174615.6,163724.5,160799.1,169480.7,187713,211420.2,230256.7,248437.2,260914.3,204728,248194.2,281291.5308,292650.5341,300754.869,312420.805,280016.6503,265960.6453,282116.4865,298901.0503
"China,P.R.: Hong Kong",2635.6,2452.8,2563.4,3062.4,2785.9,3030,3983.1,5656,6303.966,6840.6,8140.5,9068.7,9872.9,11445.1,14220.4,13955.7,15114.9,12923.5,12726.8,14567.3,14072.4,12611.5,13542.1,15809,16322.5,17778.6,20120.7,21633.3,21118.3,26569.1,36398.78463,37471.8091,42340.17374,40857.86058,37174.29601,34907.97556,40024.32897,37459.61992
"China,P.R.: Macao",0.9,13.6,0.5,1.9,1.1,2.6,5.4,6.4,10.78,7.5,10.5,18.9,28,17.6,29.5,29.9,67.3,40.9,43.7,69,71.2,79.1,54.6,85.6,101.6,200.3,226.4,306.7,209.2,225,291.499829,345.460636,351.203334,433.412019,542.277758,631.829462,501.277546,601.783749
Czech Republic,,,,,,,,,,,,,266.1,297.3,362.7,382,591.5,568.4,606.2,819.2,706.6,654.2,672.3,822.1,1051.5,1123.1,1262.4,1378.3,969.8,1415.5,1684.705096,1832.279706,1943.335903,2302.415438,1978.498784,1934.066621,2274.888338,3003.63903
Denmark,887.4,732,648.9,605.2,705.7,757.9,486.3,968.7,1051.997,1311.5,1572.3,1476.6,1092,1215.2,1517.4,1729.8,1758.5,1874.2,1777.6,1606.5,1610.7,1496.1,1548.3,2147,1913.3,2268.3,2927.4,2712.1,2058.5,2125.3,2247.948078,2224.454815,2231.06739,2360.710141,2224.108815,2238.726943,2216.287317,2558.913897
Iceland,71.3,77.3,53,50.7,38,60.3,83.7,98,178.814,231.8,156.4,119.1,149.2,112.1,170.4,257.1,179.4,236.5,294.5,253.8,225.6,219,242.2,308.3,510,365.9,629.6,469.6,349.5,324.9,628.054455,370.820354,513.396893,364.460684,388.610319,467.2952,396.783183,644.22351
Israel,2520.8,2271.1,2019.1,2194.3,2579.6,2239.2,3130.2,3222.8,2831.153,3200.4,3856.3,4074.3,4420.3,5006.1,5592.7,6009,5993.2,6977.5,7645.6,7674.6,7482.3,7039.4,6878.4,9198,9732,10964.5,13018.8,14486.3,9568,11271.4,13961.6161,14273.49843,13742.18808,15083.04496,13561.51767,13197.07701,12543.77842,13715.24586
Japan,21823,20966.1,21894.3,23574.9,22630.9,26881.6,28248.6,37619.6,44583.914,48584.8,48146.5,47763.7,47949.5,53480.7,64298,67535.7,65672.7,57887.9,57733.4,64537.6,57639.1,51439.6,52063.7,54400,55409.6,59649.3,62664.9,66579.2,51179.7,60545.4,65799.73671,69975.78686,65216.08751,66827.39751,62471.83128,63264.25753,67695.89226,74966.71604
"Korea, Republic of",5115.7,5528.9,5925,5982.8,5956.3,6355,8098.7,11257.3,13478.027,14398.7,15518.4,14630.1,14776.2,18028.3,25413.1,26582.9,25066.6,16538.2,22165,27337.6,22196.7,22595.8,24098.6,26333.4,27670.1,32455.3,34702.8,34807.4,28640,38843.9,43461.63604,42282.56521,41686.58835,44471.32783,43498.71037,42266.34516,48276.64235,56344.30579
New Zealand,921.9,897.1,619.9,708.1,727.5,880.6,818.5,943.1,1117.494,1133.3,1009.1,1307.3,1247.3,1508.2,1692.9,1726.8,1956.7,1884.6,1926.2,1983.8,2134.4,1814.3,1848.7,2075.6,2647.5,2928.5,2813.3,2570,2160.5,2820.8,3581.197846,3228.539259,3225.57512,4257.69624,3634.121636,3585.365802,3924.882345,4067.162136
Norway,891.9,949.8,812.9,859.4,665.9,937.4,841.9,928.6,1036.235,1280.7,1490.7,1280.8,1211.4,1269.4,1294.3,1558.8,1721.4,1710.1,1436.2,1573.2,1839.1,1407.7,1470.5,1604.5,1934.8,2401,3053.7,3402.4,2753.1,3107.4,3631.708911,3501.285199,4618.335583,4424.976759,3598.493916,3925.697632,5298.54488,5457.238702
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.862075,1.567197
Singapore,3003,3213.9,3758.9,3674.5,3475.6,3380.3,4052.7,5738.9,7352.649,8019.1,8807.8,9620.4,11675.6,13021.6,15318.2,16685.6,17727.4,15673.3,16347.5,17497.2,17691.7,16221.1,16575.8,19600.8,20646.5,24683.1,26284.5,28809.7,22278.6,29149.8,31282.36302,30523.21454,30666.8743,30237.31618,28656.69757,26868.46015,29753.08353,33141.03799
Sweden,1841.6,1689.6,1581.3,1542.1,1924.9,1870.7,1893.5,2693.4,3212.017,3403.6,3288,2844,2353.7,2519.7,3076.6,3428.7,3315.5,3819.3,4133.9,4483.6,3547.8,3154.1,3225.5,3265.3,3709.4,4126.2,4493.9,5084.3,4563.5,4706.1,5265.007755,5247.930905,4318.357876,4339.993685,3931.95435,3817.261924,3730.229993,4483.024828
Switzerland,3022.4,2706.9,2960.3,2562.5,2287.7,2976.5,3150.9,4124.8,4924.358,4944.3,5567.8,4548.4,6815.5,5607.8,6255.9,8379.4,8319,7258.7,8295.6,9377.8,9842.1,7796.4,8675.9,9278.5,10759.9,14391.9,17055.7,22052.6,17522.4,20721.3,24548.58867,26428.12701,26581.22488,22207.01981,22323.411,22725.8308,21711.20398,22280.03767
Taiwan Prov.of China,4304.8,4367.4,4666.7,5003.4,4700,5524.3,7413,12010.3,11322.927,11559.7,13191.1,15204.8,16249.8,17077.5,19294.9,18412.7,20387.9,18157.1,18905.2,23833.4,18151.6,18394.4,17487.9,21730.7,22049.5,23023.3,26358.6,25279.5,18432.5,26027.3,25932.49764,24337.09772,25470.28762,26670.19572,25928.69771,26045.0555,25754.35109,30242.78957
United Kingdom,12439.1,10644.7,10621.2,12209.6,11272.8,11418.3,14113.8,18247.5,20866.092,23484,22063.4,22808.1,26375.8,26832.8,28826.9,30915.9,36434.9,39070.2,38471,41360.6,40797.8,33253.1,33895.7,35959.7,38628.6,45393,50296.3,53775.1,45713.7,48496.7,56033.10835,54860.48436,47348.09687,53823.42959,56352.93498,55396.08291,56328.78889,66228.17159
Vatican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.333448,0.18383
Emerging & Dev. Countries,83444.1,74975.1,61778.9,65637.1,62374.4,58177.3,64157.4,80587.4,91510.719,96406.1,113113,132155.9,139149.4,152650.37,167257.7,187529,220068.1,223348.7,215042.9,249685.9,243638.8,233678.1,245067,282680.1,324524.4,388635.6,444857.9,527230.7,440719.7,551717.5,659168.9109,708089.6639,739233.4863,755201.0692,690287.8613,662322.9225,706778.4507,750437.2321
Emerging & Dev. Asia,11950,12065,10779.4,11425.5,10863.4,10486.4,11548.9,15353.7,17856.842,18801.2,21110.2,24725.9,29299.3,31600.9,40493.3,43053.7,48081.9,42471.2,40814.6,49664.2,50012.8,52698.1,62836.4,69980.1,79809.8,98976.6,118353.2,130940.3,119013.3,154012.5,173495.4422,180029.0448,193880.5655,196041.6531,186271.7651,187767.0018,206785.734,210297.2008
