Area,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Spain,1664.6,1639,1688.7,2628.1,2773.4,2955.6,3101.4,3475.7,3585.741,3546.2,3037.1,3187.6,3204.8,3810.4,4160.7,4563.4,4910.7,5111.8,5432.3,6048.1,5581.5,6063.1,7140.6,7931.2,9127.8,10401.8,11074.6,11573.2,8192.1,8884.2,11017.97949,11767.97498,11667.74797,14416.16257,14089.52594,13467.93549,15660.65323,17241.45689
Australia,2706.9,2551.9,2422,2899,3066.6,2872.6,3287.1,3863.5,4195.648,4897.5,4316.7,3970.8,3542.8,3447,3565.3,4127.3,4910.6,5719.3,5827.5,6692.7,6810.9,6823.8,6743.9,7915.5,7677.3,8562.9,8971,10961,8289.8,8872.3,10242.85701,9566.845252,9272.557303,10671.77153,10862.1652,9534.507345,10051.33648,10125.94114
Canada,46826.5,46791.7,52545.9,66911.1,69427.4,68662.4,71510.3,81430,89550.237,93780.4,93736.1,101291.9,113617.3,131956.2,148303.9,159746.4,171439.7,178047.9,198828.5,229190.8,220137.8,213954,227652.1,259806.8,291943.5,307823.1,317604.4,339711.7,228375.6,280387.2,315324.7533,324263.0126,332557.8028,347797.9861,295190.3089,278066.769,299975.2298,318481.0825
"China,P.R.: Hong Kong",5757.9,5895.4,6824.8,8898.6,8994,9473.7,10490.3,10814.7,10238.061,9951.1,9739.9,10265.5,10000.4,10141.7,10744.8,10262.1,10675.4,10935,11018.8,11861.4,10074,9774.5,9287.3,9782.4,9302.3,8284.6,7320.9,6713.3,3685,4449.8,4409.573508,5455.56722,5689.042694,5868.974474,6702.845256,7386.314627,7554.068234,6311.217809
"China,P.R.: Macao",167.3,217.8,246.3,339.1,370.2,444.7,548.8,588.2,694.997,777,617.3,758.1,703,733.5,940.1,897.2,1063.7,1152,1178.1,1340.2,1281.2,1308.1,1430.3,1573.9,1320.4,1289.6,1143.7,957.3,246,147.2,113.087899,94.934494,94.596746,74.390191,122.379418,119.355818,95.465754,102.283757
Czech Republic,,,,,,,,,,,,,293.4,335.1,439.3,463.4,639.1,699.1,780.7,1090.5,1172.8,1293.2,1458.5,1842.6,2305.4,2455.6,2525.2,2666.3,1978.3,2546,3344.147441,3930.627396,3922.89082,4344.819207,4462.164725,4398.894779,4595.039075,5004.390619
Denmark,898,955.9,1125.9,1517.8,1796.4,1869.3,1881.8,1761.2,1613.023,1755.5,1737.3,1736.4,1740.5,2211.9,2033,2222.7,2225,2481.8,2896.8,3089.8,3524.1,3345.7,3853.8,4019.5,5303.4,5707.4,6233.2,6593.7,5699.4,6140.1,6760.153719,6777.117904,6494.360872,7503.68084,7727.396837,7949.46504,7692.022748,8898.437841
Iceland,208.4,196.4,232.4,218.8,263,248.7,299.9,198.5,220.977,173.6,219.9,174.3,243,264.5,248.2,252.6,245.4,283.8,322.5,281.8,245.8,309.7,297.2,290.2,281.8,262,217.1,252.6,189.7,210.8,215.74448,283.735298,291.301637,298.39137,314.863581,371.685468,412.81939,430.679634
Israel,1280.2,1208.8,1299.7,1809.4,2200.7,2505.2,2724.3,3063.1,3325.015,3400.9,3584.6,3902.8,4527,5336.5,5840.8,6546,7459.6,8785.3,9892.2,12899.8,12158,12643.8,13009.5,14790,17129.1,19399.3,21077.5,22626.8,18961.6,21222.4,23046.60676,22131.11038,22783.23374,22962.2034,24452.42829,22206.42838,21946.60009,21763.42421
Japan,39904.2,39931.3,43559,60371.3,72380.1,85456.6,88073.9,93127.6,97109.532,93069.5,95010.4,99481,110417.7,122469.5,127195.3,117962.9,124265.8,125090.8,134009.1,149520.3,129708.2,124633,121232.7,133339.1,141950.4,152244.1,149423,143351.8,98401.5,123556.1,128927.8895,146431.693,138574.413,134003.7165,131119.7497,132201.8281,136543.5902,142596.2481
"Korea, Republic of",5474.1,6011.4,7657,10027.4,10712.5,13496.7,17990.9,21163.9,20542.978,19287.1,17742,17362.3,17676.6,20374.5,24890.6,23297.4,23797.6,24804.9,31836.4,40911,36491.2,36909.7,38346.1,47814.3,45522.8,47636.3,49319.2,49823.5,40543.8,50592.1,56661.35946,58898.92649,62433.19849,69518.42439,71827.4421,69932.34619,71164.06838,74290.67895
New Zealand,819.7,869.8,827.7,879.5,968.5,1097.3,1180.5,1301.2,1340.792,1326.6,1325.1,1334.8,1325.5,1544.9,1595.8,1608.4,1734.3,1802.7,1911,2185.5,2384.1,2470.7,2601.1,3177.5,3368.4,3325.6,3316.2,3352.2,2721.2,2941.1,3167.658057,3436.819255,3486.824819,3978.720377,4282.24242,4069.7691,4155.562777,4191.472842
Norway,2558.8,2047.2,1432.1,2003.8,1248.6,1170.2,1514.3,1560.5,2119.129,1963.9,1709.6,2062.9,2017.7,2500.2,3251.1,4057.7,3924.7,3038.1,4074.8,5772.4,5472.1,6075.3,5470.4,6856.8,7112.1,7380.3,7589.7,7603.9,5890.3,7194.6,8304.895112,6566.014298,5510.592901,5357.48883,4735.62929,4417.458932,5029.890219,6742.71092
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255432,3.762974,11.237236
Singapore,2194.9,2273.8,2968.8,4120.6,4412.4,4884.4,6395.1,8222.5,9178.273,10096.4,10216.2,11560.1,13049.8,15656.5,18897.5,20648.4,20368,18654.4,18599,19630.4,15261.6,15093.4,15489.6,15594.6,15387.8,18068.5,18692.4,16161.2,15856.6,17746.8,19115.89577,20231.86778,17842.85983,16426.12189,18235.23592,17800.5736,19396.84358,27256.44542
Sweden,1799.2,2091.8,2548.8,3426.5,4338.9,4636.8,4981.2,5223.2,5150.153,5112.2,4657.6,4877.1,4690,5243.4,6467.8,7375.4,7532.5,8075.6,8226,9718.2,9128.2,9551.9,11450.9,13097,14228.3,14230,13400.8,12836.6,8405.8,10865.5,11489.58217,10221.78098,9173.84165,10266.26526,9834.763997,9720.024314,10740.48518,11407.17312
Switzerland,2504.1,2394,2551.6,3199.2,3578.7,5367.4,4362.7,4734.6,4806.276,5556.4,5701.7,5775.8,6187,6604.9,7879.6,8028.8,8657.4,9146.9,9881.6,10698.5,9975,9785,11101.4,12107.3,13482.5,14774.2,15284.9,18300.5,16397,19571.1,24612.92249,25982.69888,28572.27324,31483.22047,31532.95643,36662.45074,36221.1511,41442.79442
Taiwan Prov.of China,8631.2,9586.8,12110.2,16088.1,17761.2,21251.3,26406.4,26217.4,25627.665,23917,24229.1,25806,26300.4,27941.9,30157.7,31022.7,33718.3,34343.4,36423.8,41907.3,34778.9,33519.5,33018,36210.8,36386.7,39797,39852.6,37747.5,29349.2,37219.8,41405.17228,38860.60715,37939.31713,40581.48512,40708.14756,39312.75843,42491.68126,45761.55956
United Kingdom,13315.6,13541.1,12900,15044.3,15573,16032.7,17997.6,18735.9,18880.536,20931.6,19050.6,20693.9,22392.3,25858,27709.6,29699.9,33555.6,35720.9,39852.4,43676.8,42367.2,41824.9,43763.8,47676.7,52380.3,54629.6,58095.5,59775.4,48315,50664,51262.50156,55005.81068,52850.05587,54392.3047,57805.24949,54326.07966,53074.86802,60811.97327
Vatican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055452,0.588695,0.868868
Bangladesh,104.6,88,109.4,159,227.2,264.2,419.3,412.3,474.661,593.8,571.8,899.6,953,1160.7,1345.3,1423,1780.6,1946.6,2051.4,2528.5,2504.3,2286.2,2213.3,2464.7,2881.2,3496.8,3634.6,3982.8,3886.6,4540.9,4877.104938,4915.569502,5353.438618,5277.621751,5985.42956,5912.281485,5688.135117,6104.11957
Bhutan,,,,,,,,,,,,,,,0.1,0.1,1,1,1,0.6,0.8,0.9,0.6,0.2,0.6,0.9,0.7,0.4,0.2,0.4,0.518691,0.568747,0.538582,0.29432,3.392207,3.937016,1.159825,0.830382
Brunei Darussalam,342.7,219,19.8,10.5,2,64.3,16.5,29.8,80.089,92.3,28.5,30.4,31.8,47.1,40.1,50.5,57.9,224,422.4,407.6,424,306.2,446.2,428.9,589.6,575,421.2,117.6,42.6,13.3,23.414888,86.29978,17.184938,31.806031,19.333916,13.765895,22.800185,98.105401
Cambodia,0.5,,0.1,0.1,0.3,0.6,0.2,0.4,0.324,,,0.1,0.5,1.1,5.6,4.5,109.5,387.9,619.8,860.7,1016.9,1145.9,1335.7,1591.6,1874.7,2328.2,2599.4,2545.7,2004.7,2402,2712.425319,2691.552267,2771.153023,2846.747184,3023.442791,2812.307573,3064.150766,3825.614045
"China,P.R.: Mainland",2062.4,2502.4,2476.8,3381.4,4224.2,5240.6,6910.4,9261.3,12900.993,16295.8,20305.1,27412.5,33512.7,41362.4,48520.7,54408.9,65831.7,75109.2,86480.6,106214.7,109391.6,133490.4,163255.3,210525.8,259837.8,305787.6,340117.7,356318.9,309557.7,382982.9,399371.2326,425619.0826,440434.3341,466754.4552,481880.7635,462813.0005,505597.065,539503.4277
Fiji,,,,,,,,14.3,18.138,33.9,43.2,82.4,74.9,103.4,85.6,83.9,94.5,112.3,115.5,159.1,199.1,170.4,185.6,227.3,187.7,172.5,190.4,196.6,167.4,208.3,131.547088,188.656541,174.044279,183.741085,202.405673,203.327535,221.580076,220.79328
French Polynesia,3.5,4.1,4.3,0.2,,0.6,1.1,11.3,8.782,10.8,13.1,11.1,8.8,14.6,14.3,17.5,36.3,34.5,43,43.3,49.2,45.7,49.1,68.4,61.4,59.3,63.4,73.3,30.7,54.5,54.031076,59.411496,36.492874,40.079167,42.54044,33.848855,49.171826,36.123159
India,1324.9,1522.2,2333.8,2736.9,2478.5,2464.6,2725.4,3153.4,3551.029,3421.4,3429.1,4065.6,4794.1,5663.1,6090.6,6528.4,7711.9,8658.7,9598.1,11034.3,10290.5,12449.6,13752.2,16436.7,19875.1,22992.7,25113.6,26931.5,22043.2,30706.8,36154.49564,40512.64404,41808.50873,45244.01994,44741.39054,45998.43829,48631.28635,54407.47361
Indonesia,6413.4,4508.5,5656.8,5867.4,4933.2,3675.4,3719,3483.5,3874.105,3681.4,3567.2,4704.3,5886.8,7020.2,7954.8,8742.6,9754.2,9973.1,10170,11097.4,10907.1,10385.4,10271.3,11680.4,12946.6,14342.1,15208.2,16712.7,13650.9,17392.3,19110.89613,18002.18553,18873.6954,19360.89296,19575.32214,19203.4126,20212.28376,20877.081
Kiribati,,,,,,,,2,1.377,0.3,0.7,0.4,1.9,1.3,1.5,1.6,2,1.3,1.8,1.4,1.2,1.3,1.9,1.7,1.3,1.5,1.5,1.1,1.4,1.4,0.645508,0.596252,1.020432,2.624182,2.728168,3.549289,3.688381,2.813571
Lao People's Dem.Rep,1.1,1.6,2.8,2.2,0.5,0.3,1,3.2,0.86,0.1,2.2,6.4,9.2,9.5,11.1,17.5,15.2,22,13.9,9.7,4,2.9,4.4,3.7,4.5,9.3,21,44.4,45.9,61.9,58.852777,25.043011,30.513983,32.920629,45.126242,54.9698,96.292889,141.93321
Malaysia,2272.1,1958.7,2205,2824.7,2399.4,2534.2,3053.3,3847.7,4927.016,5496.3,6347.4,8540.3,10922.5,14418.6,17981,18330.7,18523,19518.8,21754.4,25990,23071.8,24733.7,26190.2,29050.8,34675.8,37521.1,33701.2,31571.2,23888.5,26628.4,25776.85122,25934.75536,27289.39618,30420.37859,33828.20382,36687.29296,37408.94395,39383.86134
Maldives,,,,,,,,16.2,13.081,17,23.9,30.3,25.5,13.4,13.1,12.5,21.3,36.6,57.5,95.9,102.9,121.6,97.9,86.5,5.8,2.4,3.7,4,3.1,1.8,2.880675,17.616884,20.313347,23.18033,21.724624,20.414572,22.049289,25.930002
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.660788,32.090839,21.055668
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13292,0.718669,0.854127
Mongolia,4.9,2.8,1.2,2.4,3.7,1,1.4,1.3,1.675,2,1.2,7.4,35.6,28.8,25.3,33.4,44.4,45,67.8,121.3,152.5,171.6,194.5,252.6,152.8,121,87.7,55.4,16,12.8,11.003863,42.104073,19.65447,14.817945,17.18799,11.197699,8.999036,10.141257
Myanmar,16,17.9,11.7,14.7,14.6,15.3,12.7,12.5,18.137,22.6,29.3,41.6,50.1,72.6,86.9,116.2,123.4,174.8,244.4,487,501.8,379.9,295.5,,,,,,0.1,,,0.038,29.909357,92.746032,143.941807,202.298387,366.364164,495.626021
Nauru,,,,,,,,,8.191,1.3,0.8,0.4,0.1,,,0.3,0.1,0.1,0.2,1.4,,0.6,0.3,,0.1,0.2,0.6,0.7,0.1,0.1,0.319977,0.473434,0.600011,0.573589,0.501149,1.083394,1.539616,2.884666
Nepal,2.4,2,6.3,8.3,52.3,37.5,37.7,61.2,54.697,50.4,66.6,89.1,110.4,129,108.6,130.5,126.3,153.9,192.2,242.2,218,165.6,186.1,156.1,120.4,108.2,97.5,92.2,60.1,66.2,77.444344,83.519705,77.758435,86.585257,86.588658,88.675692,91.867014,98.673771
New Caledonia,,,,,,,,34.3,56.054,26.7,21.8,16.4,26.1,24.5,44.6,68.5,66.5,20.8,11.6,30.8,14.8,9.9,13,20.3,27.5,51.8,80.4,51.4,27.9,72.4,91.128908,57.574834,69.561109,84.726737,47.029841,43.12,65.11704,55.333624
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305016,0.467721,1.306403
Papua New Guinea,55.2,19.3,27,29.3,36,47.7,23.4,36.2,31.903,21.9,37.7,69.4,106.9,117.9,53.6,91.2,69.6,136.5,140.2,39.1,43.4,96.7,70.4,57.4,62.3,88.1,114.8,111.9,107.2,101.2,141.68579,118.008125,129.093372,100.132044,90.688565,91.762354,120.767865,89.994951
Philippines,2161.3,1955.5,2159.6,2622.2,2334.1,2150.1,2481,2896.6,3308.012,3622.6,3707.6,4623,5175.6,6025.1,7364.3,8495.7,10797.2,12334.8,12697.4,14216.4,11774.5,11431.1,10496.1,9581.3,9693.9,10136.5,9812.8,9099.5,7060.9,8303,9144.85931,9580.45138,9268.803788,10143.92404,10200.24938,10046.9833,11626.59531,12597.40332
Samoa,2.2,3.2,8.2,6.6,24.8,1.5,2,2.3,3.667,1.1,1.1,0.7,1.3,0.1,0.6,1.2,4.5,21.3,7.6,8,9.6,7.8,5.5,5.9,9,4.9,6.1,5,5.3,3.9,2.9711,2.389292,4.493443,5.214994,4.145221,5.260451,4.985251,6.931233
Solomon Islands,,,,,,,,2.9,0.534,,0.2,2.3,3.7,0.9,5.2,2.3,1.2,3.6,1.3,0.8,2.9,0.8,1.5,3.5,2.1,2.9,1.7,1.7,1,1.4,1.313184,1.572329,8.841794,8.706212,3.516768,2.145505,3.38416,4.088887
Sri Lanka,171.7,194.5,206,302.1,313,376.3,463.8,459.1,490.878,526.1,654.8,857.5,1076.7,1172.9,1343,1476.8,1711.1,1856.4,1869.9,2123,2100.1,1923.5,1925.9,2080,2215.2,2282.3,2178.5,2070.5,1667.5,1831.2,2085.76023,2257.259152,2451.358887,2676.025851,2887.993226,2829.538564,2857.941293,2676.378261
Thailand,1007.4,956.2,1035.4,1425.6,1542.6,1872.5,2387.2,3419.8,4635.316,5589,6451,7926.7,8982.2,10799.1,11854.3,11798.4,13055.8,13970.6,15025,17161.4,15566,15682.9,16106.1,18645.6,21034.8,23685,23792.9,24608.9,19863.8,23616.9,24831.57253,26066.84176,26168.82464,27122.64858,28594.75465,29492.52209,31189.76644,31900.42522
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,0.1,,1,,0.3,,,,0.026502,0.097608,0.116241,0.180797,3.295447,5.348401,,
Tonga,,,,,,,,1.1,2.422,2.8,5.4,4.6,4.6,6.3,6.7,4.4,3.6,6.8,6,5.9,9,11.3,15.1,6.6,7.1,9.5,7.4,5.6,3.7,2.5,1.662145,2.247827,1.719744,2.703926,2.438205,3.338222,3.600075,2.936674
Tuvalu,,,,,,,,,0.003,,,3.2,1.4,,,,,,,,,,,,,,,,0.1,,0.002031,0.040005,0.034138,0.06886,0.216054,0.060888,0.20788,0.118503
Vanuatu,,,,,,,0.1,8,15.372,1,1.8,5.4,3.9,3.8,,0.7,2.3,5.2,23.6,9.3,0.6,2.8,1.2,2.1,2.8,2.3,1.1,1.6,2.2,1.8,1.860207,2.596805,4.192881,7.124249,3.669995,5.595723,5.362379,7.059187
Vietnam,0.1,,,0.1,,0.1,,,,,,,,54.6,210.1,341.8,412.5,596.1,653,860.2,1138.5,2584.8,4909.5,5726.8,7206,9265,11425.2,13853.5,13038.3,15887.9,17487.84023,20267.67697,24654.03994,30588.51133,37993.04948,42109.16104,46483.46901,49212.05267
Asia n.s.,262.4,111.1,136.5,149.9,151.7,136.6,130.7,53.2,71.152,,42.3,41.2,67.2,68,241.2,67.3,100.2,96.5,44.3,78,57.1,48.7,60,37.2,35.3,28.4,36,41.5,44.1,31.2,33.25829,47.633169,41.317661,36.796448,54.896718,61.602421,17.985139,15.814613
Europe,2392.3,1786,2174.6,3178.5,3257.7,3518.5,3792,4295.6,4502.76,4360.3,3828.2,3802.8,4919.7,7605.7,8913.3,8703.7,10315.7,13179.9,13703.1,17538.3,16584.1,17383.9,20198,26763.9,32438.9,38278.1,38763.6,51390.2,33889.9,44366.7,56148.2961,51091.32024,49932.20854,49414.12589,42511.70519,39679.07245,45228.35276,53255.67667
