Area,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Turkey,275.9,290.1,336.6,463.9,645,690.2,897.1,1066.8,1479.181,1155.2,1078.4,1183.5,1279.8,1692.7,1925.8,1883.1,2244.9,2677.5,2771,3241.2,3254.8,3759.9,4062.1,5322,5584.3,5774.4,4897.3,4949.8,3857.1,4421.9,5220.844682,6294.133798,6669.092942,7356.981878,7827.59031,8064.301205,9421.274007,10336.90219
"Yugoslavia, SFR",470.6,391.6,423.8,527.3,600.6,713.4,870.9,929.4,868.988,796.7,722.9,494,,,,,,,,,,,,,,,,,,,,,,,,,,
CIS,376.8,247.1,374.5,600.2,442.7,605.6,469.7,651,784.762,1168.4,915.4,881.6,2218.3,4018.9,5037,4790,5311.6,7113,7233.6,9591.2,8062.4,8368.8,10387.5,14866.3,19775,25325.9,26534.9,38433.9,24091.5,32245.5,40936.83059,34020.29795,31157.82962,27710.34151,19285.56591,16336.24696,19569.43957,24769.36895
Armenia,,,,,,,,,,,,1.5,0.8,0.9,18.4,1.4,6.4,17.2,15.4,23.6,34.3,31.8,38.7,47.7,46.8,48,34,43.5,79.1,78.9,92.578996,88.627517,101.310071,96.283701,62.527802,43.16195,67.461724,53.366729
"Azerbaijan, Rep. of",,,,,,,,,,,,0.2,32.9,0.3,0.8,5.1,6.3,5.5,10.8,19.6,24.7,36.6,13,47.1,49.8,741.5,1942.3,4488.6,2027.8,2041.3,2424.516997,1094.919275,1136.157099,1011.903492,507.108182,142.00244,211.810556,505.180635
Belarus,,,,,,,,,,,,29.7,39,60.5,49.6,56.7,70.2,112.7,99.7,114.8,118.1,137,237.1,375.3,381.1,584.8,1101,1118.7,596.1,181.6,362.531886,153.440844,104.894811,131.377339,157.769192,133.908678,277.803013,395.253505
Georgia,,,,,,,,,,,,,22.2,1.4,11.7,7.8,7.5,15.3,17.9,34.2,34.8,18.8,60,83.9,206.1,117.6,200.3,243.8,71.7,201.1,176.050965,226.106387,174.956473,391.953515,193.144476,94.427789,130.645028,189.909311
Kazakhstan,,,,,,,,,,,,23.9,40.8,65.4,117.3,119.9,119,177.7,229.9,420.2,364,348.2,409.3,568.3,1164.6,998.3,1290,1651,1598.3,1934.5,1679.301906,1564.968259,1421.402621,1410.773675,798.469157,742.26203,785.443544,1384.590318
Kyrgyz Republic,,,,,,,,,,,,0.8,2.1,8.1,13.4,5.1,2.4,0.2,0.7,2,3.5,5.5,11.8,11.4,5.3,4.6,1.9,2.6,6.3,4.1,2.661048,9.250595,3.524577,2.360415,15.795849,3.204273,6.458688,7.37344
Moldova,,,,,,,,,,,,0.4,0.4,3.3,27.9,32,55.2,120.3,102.5,122.2,74.4,41.8,45.6,53.3,53.4,39.2,24.8,13.3,8.8,13.3,16.194614,25.344634,35.264959,35.371231,43.837938,37.891728,40.132605,55.56752
Russian Federation,,,,,,,,,,,,511.1,1846.7,3436.5,4270,3745.2,4523.6,6008.4,6093.8,7830,6531.6,7145.6,9084.9,12560.3,16150,20731.1,20221.1,27932.2,18994.2,26534,34619.04935,29364.79655,27085.6907,23658.08316,16561.6844,14512.46222,17003.32326,20795.47823
Tajikistan,,,,,,,,,,,,,18.7,61.7,40.5,34.4,8.6,33,24.5,12.1,5.4,1.3,7.7,7.5,248.8,62,0.2,8.2,9,1.4,12.287776,26.838677,0.671817,3.606706,31.119315,0.808641,0.931554,0.721521
Turkmenistan,,,,,,,,,,,,2.3,2.1,1.8,1.3,42,2.3,3.1,8.2,28.8,49.6,63.3,81.5,86.6,145.8,81,234.3,148.7,96.5,50.9,43.430094,90.367265,31.114952,20.22361,55.970674,17.830257,13.816278,11.571978
Ukraine,,,,,,,,,,,,109,205.4,376.1,471.7,575.1,469.7,585.5,602.1,946.7,765.3,457.5,310.4,934.9,1225.8,1764.6,1319.4,2490.5,513.8,1135.6,1457.063515,1349.697993,1036.255271,934.048618,848.13651,577.545043,1017.328573,1352.019705
U.S.S.R.,376.8,247.1,374.5,600.2,442.7,605.6,469.7,651,784.762,1168.4,915.4,202.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,7.2,2.9,14.4,165.3,40.4,34.1,28.1,37,56.7,81.4,87.5,90,97.5,153.2,165.6,292.8,89.9,68.8,51.163447,25.939962,26.586261,14.356045,10.002415,30.741911,14.284745,18.336063
"Afghanistan, I.R. of",13.6,12.4,8.8,13.9,7.1,5.4,6,5,4.919,4.9,4.6,2.2,2.8,6.3,5.8,17.6,11.2,17.6,9.2,2.9,0.7,4.7,62.9,25.2,67.7,45.8,76.8,86.9,124.3,87.2,26.139389,36.765072,45.514058,72.015255,21.561884,33.519088,14.481991,28.915075
Algeria,5208,2791.9,3815.3,3770.5,2426.3,1979.9,2144.2,1993.4,1980.977,2847.6,2274.8,1693.8,1710.8,1664.4,1807.1,2270.2,2645.7,1798.7,1987.1,2795.8,2905.8,2560.1,5126.4,7926.6,10834.7,16089,18431.9,20032.4,11150.7,14943.8,14609.28537,9993.334569,4830.871545,4628.887168,3371.546348,3228.781737,3808.000132,4618.350007
"Bahrain, Kingdom of",37.8,32.4,24.8,56.4,90,87,69.9,109.8,88.647,89.8,99.9,71.3,109.4,165.3,145.5,124.3,126.4,169.8,236.2,345.3,451.4,419.4,401.3,431.6,454.8,653.8,654.8,570.3,502.6,446.1,518.411567,701.016392,635.587426,965.390522,902.328453,768.324897,996.42841,990.670282
Djibouti,,0.1,,0.1,0.2,0.3,,0.5,0.12,,,,,,,,,0.8,0.1,0.4,0.9,2,0.6,1,1,3.4,4.8,7,2.9,3,4.053092,11.849636,3.948158,11.849456,35.393765,28.013366,34.184354,48.226591
Egypt,412,568.9,324.7,182,84.3,123.3,498.3,242.5,248.359,435.2,223.8,465.6,663.6,593.5,654.5,713.9,694.9,698.7,659.4,894.7,938.9,1416.7,1219.2,1438.7,2221,2573.5,2545.1,2484.3,2169.4,2345.8,2058.680312,3000.102332,1614.573961,1410.18921,1405.910903,1493.373939,1635.057933,2481.484787
"Iran, I.R. of",66.1,611.8,1167.3,729.9,762.6,611.7,1751.5,9,8.82,2.1,260.4,0.7,0.1,0.8,0.2,,0.1,,2.4,174.5,148.9,162.9,167,155.9,179.5,162,178.3,105.5,68.8,96.5,1.005187,2.11355,2.208518,,10.766314,85.998218,63.171938,67.914342
Iraq,166.6,41.6,60.8,129.3,491.1,472.8,525.6,1599,2556.951,3247.3,0.2,,,,,,317.1,1360.6,4266.3,6347.2,6297.7,3798.1,4913.1,9203.9,9647.2,12230.9,11893.9,23071.8,9719.3,12623.2,16959.77863,19265.35292,13305.73848,13827.03543,4352.595565,5965.052784,10745.62321,11872.17711
Jordan,1.7,6.8,4.6,4.6,14.7,10.8,11.6,13.2,9.306,12.1,6.7,18.7,20.1,31.4,30.7,26.4,26.1,17.1,30.5,74.5,241.9,437.7,704.8,1144.8,1320.4,1488.7,1388.2,1184.1,954.4,1007.8,1060.516505,1155.531816,1197.255973,1400.522575,1493.338957,1557.189869,1687.601413,1813.505196
Kuwait,90.8,42.8,139.1,279.8,198,307,568.4,506.7,1040.913,625,38.9,309.9,2003.4,1597.6,1468.9,1782.2,1998.1,1470.7,1551.2,2968.1,2210.7,2052.2,2478,3472.9,4614.2,4182.3,4313.1,7400.2,3969.1,5586.9,7808.733355,13020.90229,12636.91119,11436.96468,4684.665792,3312.386702,2916.253045,2087.89521
Lebanon,19.4,19.7,17.7,7.7,19.8,30.8,34.3,42.1,31.44,24.8,28.5,28.6,27.9,26.2,36.4,42.8,80.2,84.7,53.2,73.6,92.5,65.9,95.9,78.1,91.2,92.7,110.1,102.1,79.5,87.8,79.331843,81.18679,91.831158,72.170813,92.908801,107.91742,128.54759,108.862433
Libya,5476,533.2,0.7,9.6,47.2,1.6,,0.1,,,1.8,,,,,,,,,,,,,345.9,1657.1,2629.4,3540.3,4349.9,1981.5,2186.8,645.010462,2493.042856,2558.215497,224.801161,155.094525,223.527315,1372.032757,1403.750514
Mauritania,0.2,0.4,0.8,1,0.4,2,19.9,17.3,11.919,23.9,12.9,22.8,7.1,4.4,7.3,7,0.3,0.4,0.7,0.4,0.3,1,0.9,7.5,0.9,53.7,0.6,48.3,36.6,54.8,0.965142,0.694097,130.690363,101.402327,1.163023,50.344497,61.458823,13.297624
Morocco,41.4,51.3,34,39.1,43.7,46.9,54.2,102,107.361,117.4,162.8,194.8,201.1,210.7,256.2,275.1,328.3,367.5,409.9,465.2,467.3,424.8,415.2,553,474.4,559.1,663.9,950.8,519.9,752.3,995.660068,932.130007,976.123625,992.102774,1010.510246,1021.788683,1229.718695,1565.519453
Oman,368.5,351.8,374.3,170.2,50.6,42.5,229.9,82.1,126.594,319.2,131.2,203.3,304.8,496.9,320.7,447.5,260.9,230.4,226,280.4,454.5,422.7,748.4,449.4,595.2,960.2,1087.5,895.9,966.5,809.6,2208.302314,1354.422658,1022.621882,976.051584,905.863903,1108.744292,1068.838403,1280.837511
Pakistan,189.1,180.7,182.6,267.6,298.8,353.1,438.2,496.4,564.908,656.2,713.5,931.5,936.8,1084.6,1278.2,1348.7,1525.7,1788.1,1877.7,2300.2,2420.1,2482.2,2733.8,3089.7,3492.8,3964.4,3830.6,3828.3,3361.4,3727.9,3832.115894,3627.553133,3688.292311,3671.730828,3696.152873,3446.096619,3574.076342,3712.034517
Qatar,120.2,110.3,11.3,52.3,18.1,70.8,4,0.5,56.826,58,32.2,76.1,72.4,86.5,99,163.2,168,237.4,290.8,584.8,580.2,534.9,372.6,429.7,490.4,284.2,518.3,520.4,536.1,487.7,1199.704662,1011.454913,1300.913475,1742.145895,1306.223951,1160.710403,1201.310986,1571.303344
Saudi Arabia,15237.2,7860.3,3840.3,4008.8,2026.8,4054.3,4886.6,6243,7816.997,10733.4,12153.5,11285.6,8431.6,8306.9,8897.8,9442.9,10353,7168.7,8734.4,14301.8,14414.4,13891.5,19525,22502.2,28966,33086.7,37164.6,57005.4,23243.3,32652,47476.33626,55666.95084,51806.69872,47040.79136,22080.50799,16925.90931,18866.43825,24089.908
Somalia,0.2,1,0.1,0.8,2.2,0.4,4,1.3,0.281,,2.7,2.5,0.2,,,0.1,0.1,0.6,0.2,0.5,0.3,0.3,,0.7,0.3,0.4,,0.1,0.1,0.1,1.105295,0.975637,1.193888,0.537554,0.998063,0.990595,0.986868,1.168903
Sudan,62.8,17.3,20.4,22.1,9,23,23.2,24.2,20.663,15.7,16.4,11.6,12.3,36.7,23.5,19.6,12.9,3.4,,1.9,3.6,1.5,3.1,3.8,13.9,6.5,8,5.4,10.7,8.9,10.353364,6.524197,10.368547,11.941634,8.971525,15.327823,13.056356,15.652809
Syrian Arab Republic,87.5,10.7,8.4,2.1,2.7,8.9,66.6,42.2,107.796,57.3,27,45.8,144.6,71.9,65,16.2,30.1,47.8,95.3,158.9,166.2,159.7,281.6,296.9,351.5,229.5,119.3,374,320.5,445.2,393.238838,19.456989,19.21337,12.363428,6.528605,6.675022,7.062198,5.92571
Tunisia,11.9,61.8,34.1,31.3,13.5,11.4,72.7,45.8,60.068,33.9,35.8,51.6,43.4,58.8,75.9,81.2,67.1,64.8,67.1,107.5,129.8,98.4,106.5,224.7,242.5,524.3,477.9,672,338.1,417.9,352.049887,737.859325,748.896173,520.864222,543.814358,391.57523,462.291109,649.00132
United Arab Emirates,2102.3,2138.9,541.8,1277.8,721.5,390.5,723.4,616.3,737.231,952.4,769.4,872,774.5,479.1,485.6,538,964.9,708.4,737.4,996.9,1283.7,998.2,1213.2,1214.4,1541.6,1447,1394.2,1347.5,1565.5,1195.8,2439.791392,2252.977531,2293.185979,2814.215304,2462.892489,3355.993604,4323.329682,5007.423938
West Bank and Gaza,,,,,,,,,,,,,,,,0.4,,0.2,3.6,4.9,7.1,9,1.5,1.2,3.7,4.3,3.7,5.1,7.3,7.5,7.752237,5.095927,5.304512,4.561317,5.569837,6.390112,5.24748,3.289538
Yemen Arab Rep.,0.4,0.5,0.4,8.5,0.7,1.5,4.5,129.1,282.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, P.D. Rep.",1.2,0.7,1,17.4,1,0.2,1.4,20.2,1.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Republic of",,,,,,,,,,399.5,127,46.2,110.4,199.2,44.4,31,18.1,43.2,19.8,267.2,233.2,257.9,72,66.5,302.8,479.3,313.2,8.5,7.6,205.7,561.709854,87.107413,65.59385,41.200651,48.314414,2.396259,9.542905,2.164858
Angola,938.2,723.9,948.1,1053.5,1094.5,729.1,1372,1343.1,2006.286,2099.4,1926,2435.8,2237.6,2209.5,2390.2,2855.2,2966,2450.7,2570.3,3613.6,3277.3,3275.3,4506.3,4796.9,8846.4,12174.4,12925.9,19497.7,9703.3,12281.2,13597.47343,9823.874266,8742.942417,5719.807202,2807.57449,2856.481491,2603.566843,2698.363854
Benin,0.5,1.5,28.8,0.3,0.2,0.1,15.8,17.1,7.777,21.5,24.9,10.2,17,11.4,10.8,19.6,9.1,4.2,14.5,9.8,1.2,0.8,0.7,1.4,0.5,0.6,5,32.8,0.5,0.1,1.970887,2.67358,3.128498,5.408147,4.933337,7.037272,17.811224,19.182516
Botswana,134.7,18.8,44.2,58.2,29.5,2.6,7,9,17.073,14.3,13.5,12.4,8.6,13.8,21.7,27.5,25.1,20.4,18.3,42,20.9,30.2,14.2,74.3,179.7,253.5,189,219.8,132.8,170.3,293.169506,221.039055,277.714441,317.967504,211.652994,434.160315,772.360916,460.677879
Burkina Faso,,0.1,,,0.8,0.8,0.2,1.4,0.41,1.3,0.5,,0.4,0.3,0.4,4,0.9,0.4,2.9,3.2,5,2.9,0.9,0.4,2.3,0.8,1.5,0.5,2.3,2.4,3.605288,2.303644,6.108975,6.209129,3.584332,5.260287,5.054853,5.096967
Burundi,30.4,44.3,3,2,1.2,10.5,4.9,1.3,4.795,8.2,9,9,2.8,7.8,21.4,2.1,14.4,8.1,6.8,7.2,3.1,0.8,6.6,3.1,4.8,1.9,1,3,4.2,3.5,9.558071,4.809555,4.297467,4.372768,8.422716,6.648709,8.965156,14.002418
Cabo Verde,,,,,,,,,1.877,,,0.1,5.9,0.1,0.2,0.3,0.4,0.1,,4.7,1.7,1.9,5.9,3.9,2.6,0.9,2.2,0.3,0.7,1.4,1.467584,3.966021,2.356117,1.721388,2.211643,4.036396,3.547847,3.573966
Cameroon,653.8,821.7,535.8,750.6,338.3,333.4,443,249.7,450.788,170.3,139.6,90.2,110.8,61,52.6,70.8,63.8,59.9,87,163.1,111.5,183.5,225.9,335.4,171.1,292.1,314.7,641.9,267.6,311.8,330.391692,308.25159,366.962437,186.008626,133.41656,150.772597,119.497652,219.602713
Central African Rep.,6.7,5.1,3.6,3.3,0.6,3.9,4.9,3.4,2.974,2.2,0.7,0.8,1,0.2,0.4,0.3,1.5,2.7,1.6,2.4,2.4,2.1,2,8.9,5.7,4.4,3.2,9.1,3.6,5.7,5.998567,4.070088,2.787401,1.356628,3.119355,1.079325,2.161323,2.851549
Chad,,0.1,70.6,0.1,0.4,0.1,,0.1,0.149,1.3,0.2,0.3,0.3,2,3.4,7.4,3,7.9,7.9,5.7,6.4,6.1,24.4,827.8,1580,2021.3,2240,3470.9,2059.9,2109.9,3174.02868,2660.336285,2459.150663,2328.578122,1303.318572,898.675141,525.550458,479.416812
Comoros,4.1,5.7,4,2.1,6.5,3.5,6.1,13.3,7.99,4.8,9.7,10.5,9.6,6.2,2.2,6.3,2.5,0.7,1.9,3.3,10.7,5.4,4.1,16.6,1.5,1.6,0.5,1,1.1,1.8,1.778891,1.959039,2.843049,2.079895,1.208973,2.747569,5.071103,2.983864
"Congo, Dem. Rep. of",440,423.9,378.1,518.1,414.6,238.7,319.9,377.1,345.481,331.4,316.5,259,251.1,197.8,273.4,259.6,304.2,180.4,237.8,238.7,166.9,209.3,183.2,132.1,269,86,208.5,270.6,339.1,546.3,605.570262,40.992382,75.559485,154.417871,153.722775,173.945633,86.118691,49.639886
"Congo, Republic of",294.5,675.8,859.4,1054.5,645.7,397.9,456.6,404.8,535.061,441.4,445.9,547.1,541.4,434.5,223.4,337,501.8,336.4,429.7,481,527.3,210.5,457.1,898.4,1696.6,3184.5,3182.3,5199.1,3188.6,3391.6,2420.086749,1488.475391,1166.601446,424.221715,304.222681,132.063617,128.264011,432.699436
Côte d'Ivoire,371.7,325.7,371.4,498.4,557.7,453.6,404.4,313.1,255.187,224.5,242.5,206,199.3,205,230.3,431.1,313.7,448.2,401.5,431.3,358.3,399.3,514.3,761.6,1281.8,755.9,638.8,1159.2,778.8,1215.1,1270.636148,1099.49598,1013.449247,1192.504327,1030.399345,1163.915307,1212.992674,1246.793949
Equatorial Guinea,0.2,,0.1,0.8,,0.2,,,,,0.3,0.1,4,0.3,34.4,81.8,33,73.4,45.3,157,477.1,553.6,962.9,1259,1675.3,1825.3,1861.9,3495.1,2587,2291.6,1190.780854,1699.803812,897.998983,254.933001,163.138239,193.244188,355.924328,579.915874
Eritrea,,,,,,,,,,,,,,,0.5,1.8,1.4,0.7,0.5,0.2,,0.3,0.2,0.4,1.2,0.9,0.4,0.1,0.5,0.1,0.140467,0.199965,0.157595,0.099662,0.103243,0.469738,0.26696,0.278595
"Eswatini, Kingdom of",71.3,29.3,13.6,24,16.5,23.5,10.9,22.2,7.459,34.2,31.4,25.4,23.4,41.2,35.2,32.6,47.3,26.8,39.4,56.1,69.2,123.1,173.6,209.1,207.3,164.6,154.4,142.1,115.7,126,89.284003,66.637548,58.940474,81.527535,21.439927,16.993425,20.497909,13.327573
Ethiopia,89.5,109.9,94,88.9,46.1,76.2,77.9,57.3,74.64,42.4,15.5,8.9,23.6,36.1,34.4,36.1,72.5,54.3,41.3,28.9,32.2,28.3,33.8,45.4,66.8,85.4,93.1,159,119.4,134,144.417834,183.126469,193.566884,206.780391,309.927744,236.183914,291.392368,444.813041
Gabon,454.9,635.2,685,707.3,523.2,225.5,379.4,199,449.904,805,766.4,983.4,1008.6,1237.8,1557.7,2067.1,2348.2,1381.9,1600.7,2187.1,1734.9,1665.4,2074.4,2619.9,2955.2,1416.4,2243.4,2372.2,1283.5,2276.5,4566.651306,1885.875183,1112.280961,797.98543,337.025045,107.380681,199.664813,288.486359
"Gambia, The",0.2,0.1,0.1,0.7,0.2,0.5,0.3,0.1,1.711,,2.1,1.1,9.4,2.4,2.2,2,2.8,2.1,0.3,0.3,0.6,0.3,,0.5,0.3,0.2,0.1,0.6,1.3,4.1,0.082442,0.351843,1.686367,0.298435,0.864451,0.659487,1.010328,0.564972
Ghana,255.1,370.6,125.3,51.1,94.8,200.9,259.4,209.5,134.013,178.2,160.4,102.4,218.6,205.4,202.8,178.9,159.4,153.5,201.1,225.8,205.2,128.6,93.4,159.8,173.4,209.6,212,241.3,144.4,282.9,779.001271,291.4332,365.840155,271.584586,309.272746,321.226738,749.969365,581.640636
Guinea,131,165.4,138.6,138.3,139.8,112.9,120.8,139.3,160.896,141.2,166.9,125.1,148,119.1,124.7,143,128.9,142.1,147.1,121.5,106.1,84.5,87.1,79.6,89.5,115.3,139.1,139.8,94.6,113.6,80.662565,103.058967,98.965928,86.305679,79.599982,9.449425,5.852708,5.988105
Guinea-Bissau,,,,,,,,,0.001,0.1,0.1,,0.2,,,,0.1,0.1,0.1,0.5,,,2.1,28.2,0.2,0.5,,0.1,,0.8,0.261369,0.080618,3.221196,0.058087,0.049016,0.175825,0.019013,0.193911
Kenya,56.7,76.7,70.2,68.8,99.6,149.1,85,69.4,73.008,63.2,73.5,78.1,100.5,116.4,108.1,112.6,119.8,105.2,109.5,112.2,137,202.1,266.3,374.4,368.1,374.7,342.4,360.4,292.8,325,381.554799,389.495963,452.25703,590.720156,565.337664,551.513784,574.029525,644.094337
Lesotho,,,,,,,,,19.971,25.1,28.6,55.4,58.1,66.1,65.2,68,89.5,104.6,112.2,143.9,224.1,342.8,419.6,493.1,421.2,428.4,462,393.3,315.9,311.9,384.351086,310.571285,351.402897,361.009125,331.933726,310.574173,308.605256,421.814578
Liberia,136.5,114.6,107.5,117.9,103.6,97.4,100.7,115.6,114.074,52.7,8.4,13.4,3.1,3.7,10,26.9,5.1,26.7,32.5,45.4,44.7,47.5,62,89.4,97.1,144.3,118.3,147.5,85,184.5,158.180247,144.013452,96.532769,83.373899,44.930717,64.10882,91.258704,61.555862
Madagascar,73.7,66,74.3,74.1,54.7,64.3,73.1,50.3,39.766,41.6,48.6,56,44.6,59.7,60.2,48.1,66,75.6,80.2,162.4,285.1,225.5,401.1,494,342.6,298.1,357.7,342.1,266.7,113.2,87.130577,109.876814,179.763551,215.676635,319.857104,444.93417,741.45654,892.729736
Malawi,67.2,33.5,15.6,32.5,29.2,22,27.2,41.1,38.078,52.7,77.7,64,66.5,62.7,43.5,78.2,87.9,64.7,76,59.2,84.2,76.4,82.8,64.9,123.4,64,63.6,69,69.5,76,64.923258,65.958496,73.103263,66.584071,61.149674,76.685189,62.100747,57.059571
Mali,0.9,1.2,0.7,1.2,6.2,7.3,,4.4,7.525,2.3,1.9,1.6,1.6,4.5,5.8,5.8,4.1,3.9,9.1,9.8,6.5,2.7,2.7,3.8,3.9,8.2,10,5.1,3.7,6.5,4.078609,3.64375,3.680149,4.772449,4.474276,4.299932,2.920073,4.779148
Mauritius,21.3,33.3,34.1,53.3,77.6,129,153.8,165.5,171.982,155.6,141.9,133.8,210.7,233.6,243,230,254.1,289.1,278.5,306.9,295.5,301.4,316.1,285,233.4,229.5,196.5,183.8,177.5,206.3,251.707228,260.205159,338.728474,401.234686,395.412661,335.396547,284.857066,319.151774
Mozambique,88.1,56.4,31.1,26.1,17.4,20,30.2,22.5,20.842,28.9,24.3,21,8.4,16.8,31.1,27.5,32.3,27.5,11.7,26,7.7,9.2,9.3,11,13.1,17.7,5.5,17.8,39.5,66.4,34.966794,38.53178,76.072912,99.936947,95.996317,110.893252,145.555827,112.730608
Namibia,7.9,6.3,0.7,2.6,12.9,22.8,9.1,5.6,15.693,33.2,37,24.1,22.7,29,11.9,28.1,65.4,54.4,33.4,44.5,38.8,58.9,127.8,250.6,133.4,118.8,222.8,302.3,329.3,195.4,436.230221,231.111858,262.312815,256.185462,85.325332,84.075169,127.049201,119.665904
Niger,,0.7,4.6,0.7,10,12.4,7.5,5.6,2.318,46.1,5.3,2.9,6.1,2.4,1.6,0.7,41.8,1.9,12.7,7.2,4.9,0.9,4.1,28,66.3,125,9.6,45.1,107.6,27.1,288.675966,81.719779,2.331191,4.594002,4.20509,6.213173,7.27322,29.520249
Nigeria,9554.3,7273.6,3882.8,2605.3,3107.9,2680.7,3766.8,3522.1,5613.592,6395.7,5684.5,5299.5,5609,4705.8,5054.9,6171.5,6717.7,4548.4,4641.7,10349.7,9179.9,6219,10948.6,17112.2,25109.3,28959.3,33740.5,39217.2,19737.3,31357.5,33854.18637,19014.22437,11723.85782,3839.186383,1915.825449,4175.994344,7050.827927,5620.822249
Rwanda,43.1,35,30,17.7,6.8,11.4,11.6,13,7.415,31,7.7,4.9,4,1.6,1.8,9.1,4,4.3,3.6,5.5,7.6,3.3,2.9,5.8,6.7,9.2,13.1,14.5,19.7,22.3,30.857888,33.286667,24.422296,40.664095,45.625423,25.446922,43.652957,67.391774
São Tomé & Príncipe,,,,,,,,2,0.203,,,0.3,0.6,0.1,0.1,0.5,0.2,0.7,1.1,0.5,0.3,0.3,,,0.2,,0.5,,0.2,0.2,0.981624,0.553482,0.253002,0.984219,0.769853,0.49423,0.909851,0.710582
Senegal,1.4,1.3,2.2,2.7,5.3,7.1,7.4,8.6,9.042,4.4,12.8,11.5,8.4,12.7,7.3,5.9,7.3,5.8,9.3,4.7,104.4,4.1,5,3.4,4,22.2,21.3,18.6,7.5,5.5,6.766267,16.771627,16.981303,25.443021,71.718541,54.596498,72.401701,127.247428
Seychelles,0.4,32.1,3,0.3,10.2,8.1,14.2,4.9,5.93,0.5,1,1,4.6,2.9,2.6,3,2.5,2.3,5.5,7.9,24.3,27.4,14,6,6,10.2,10.4,5.6,6.4,4.8,6.265409,4.645786,5.761388,4.084276,5.595364,5.821329,12.639351,7.311097
Sierra Leone,47.5,37.2,23,40.8,19.3,1.3,21.1,43.7,62.604,46.1,51.5,64.6,52.2,54.9,29.1,23,18.7,12.3,8.5,4,4.7,4,6.8,11,9.9,43.9,60.3,57.8,28.6,29.7,26.550327,17.845303,41.550945,28.673052,39.448319,30.131975,46.530015,56.547967
South Africa,2552.5,2047.6,2098.8,2577.2,2179.5,2476.2,1399.1,1575.1,1586.228,1752,1779.4,1794.8,1929.1,2131.1,2310.8,2435.8,2616,3189.6,3327.4,4316.8,4588,4182.7,4830.6,6168,6071.1,7751,9291.1,10201.7,6043.8,8393.6,9486.919792,8672.332572,8465.279285,8317.796985,7334.834062,6759.200474,7759.358,8469.789386
"South Sudan, Rep. of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.066454,0.188291,0.133314,0.267167,0.018461
Tanzania,20.5,31.8,16,12.8,10.7,12.7,14.4,19,55.871,15.4,16.1,12,12.9,16.4,24.3,20.3,28.2,33.4,36.5,34.3,29.4,26.6,26.1,25.9,35.4,36.2,47.9,57.5,51.2,44,58.954228,114.862791,70.326213,86.112184,104.794677,149.420762,123.67688,96.898093
Togo,10,10.7,21,36.9,12.2,27,25.8,5.9,3.395,3.6,3.2,7,3.7,4.7,31.4,6.1,10.6,2.8,4.1,8.2,13.8,3.2,5.9,1.8,7.1,3.9,5.7,12,7,9.6,30.536625,51.910954,7.719687,9.120679,14.195683,10.854832,14.619864,13.04624
Uganda,108.5,166.8,110.5,97.4,118.9,139.4,85.5,62.1,43.537,15.7,20.4,13.6,11.2,36.2,13.5,16.9,39.3,15.8,22.3,30.7,20.6,17.1,38.3,29.4,28.9,23.8,28.2,54.2,32.9,60.5,45.881727,34.478933,47.086632,45.931076,64.196681,51.489004,79.118142,68.955519
Zambia,118.2,30.6,53.8,128.7,59,66.2,51.3,19.9,47.733,28.5,42.9,70.8,41.4,64.3,33.2,65.1,56.9,47.8,38.4,21.2,16.3,8.1,13,32.7,32,28.7,49.1,52,8.6,29.6,47.321448,63.020002,37.700326,55.626424,47.091141,46.578757,66.050933,182.73846
Zimbabwe,115.8,86.9,79.6,75.2,54.4,73.5,74.5,126.8,133.317,118.5,94.3,114.2,122.5,112.1,104.6,144.8,147.9,135,135.5,124.6,96.3,108.6,60.5,80.5,98,107.2,75.2,114.1,23.7,60.1,51.421685,52.453255,13.887943,64.93218,67.280444,15.800662,54.582937,75.429732
Africa n.s.,6.6,6.4,6.3,7.2,5,16,4.9,0.4,1.137,,0.3,0.3,0.8,1.4,,2.3,1,0.2,0.1,2.1,3.2,4.1,5.8,4.9,3.3,1.6,5.5,10.3,6.2,7.3,8.500432,6.689719,8.514513,9.186677,15.386918,15.623934,13.426824,14.142971
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.710049,3.276235,5.103774
Antigua and Barbuda,,,,,,,,7.5,13.156,4.1,4.5,6.1,16.3,5.2,3.2,8.8,5.2,2,1.9,2.2,3.7,3.8,13.6,4.7,4.6,5.9,9,5,9.5,5.6,6.581579,9.640118,9.606755,7.838456,6.790707,17.225351,11.778954,4.773719
Argentina,1214.3,1222.3,938.5,1041.5,1167.2,938.5,1175.6,1568.4,1539.096,1664.3,1409.9,1369.8,1297.5,1834.5,1881.2,2450.7,2379.9,2441.1,2767.4,3316.4,3256.5,3432,3435,4067.2,4944.9,4276.9,4820,6177.8,4133.4,4008.8,4502.877176,4350.419991,4642.311486,4243.058264,3948.332947,4650.467859,4765.386786,4861.438385
